content,score,sentiment
wonder by bni sangat bantu segala yang kait finansial mudah dalam transaksi dalam 1 genggam moga makin hari makin baik bagus fitur dalam wonder yaa,5,Positive
cara seluruh aplikasi gampang d guna fitur nya mudah d pakai bantu aku ngrencanain keungan ku lebih baik fitur login sidik jari sangat praktis ga susah msukin passwort selain proses tranfer bayar asa aman cepat aplikasi stabil bahkan jaring kurang bagus,5,Negative
tidak login uninstall langsung,1,Positive
aplikasi sangat bantu tidak perlu repot kantor cabang kualitas ui enak cepat,5,neutral
bagus sekali,5,Negative
aplikasi mudah guna fitur nya banyak useful daily activities good app,5,neutral
aku baru pakai turut aku aplikasi pas banget buat anak muda karna bikin hidup lebih praktis semua transaksi jadi simpel trus bisa lihat lapor keluar bulan wondr by bni kasi insight keluar kita jadi lebih sadar mana penting nggak,5,neutral
aplikasi bagus mudah guna praktis,5,neutral
trimakasih sudah beri informasi,5,Positive
good,5,neutral
aplikasi sangat sulit tiap laku bayar listrik input no idpl terus simpan otomatis jelas jelas transaksi rutin bulan,2,Negative
aplikasi ribet lg error terus kelogout terus tiap login hrus scan ktp lg,1,Negative
aplikasi sangat mudah laku transaksi bank sangat efektif untuk guna kita laku bayar apa sana,5,Positive
pala gw sampe puyeng tengak tengok kedap kedip gak juga,1,Negative
sejak pakai wondr by bni transaksi perban jd lebih sat set gak pake lama lagi isi pulsa top up sampe investasi lancar jaya rekomen pokoknyaa,5,Positive
bagus mudah guna cepat,5,neutral
aplikasi wondr by bni sangat mudah guna banyak fitur-fitur yg butuh mana jadi praktis karna buat metode bayar qris saat ada uang cash,5,neutral
mudah bentrasaksi kapan saja,5,Negative
selalu gagal transfer uang nya lama nya terus banyak banget kendala lelet juga jadi kayak kesel aja buat uji esmosi saya tetap pakai apk ini saya tunggu apk benar jadi apk lebih baik lagi kalau aja kendala atas uninstall aja lagi masih saya tunggu,3,neutral
aplikasi bagus,5,Negative
dengan ada aplikasi wondr by bni buat hidup jadi lebih mudah hidup jadi wondrful mau transaksi apa jadi mudah rencana tabung top up bayar tagih jadi cepat gampang gak perlu keluar rumah semua urus beres,5,Positive
aku puas sama aplikasi perban ini aplikasi buat mudah belanja bagai merchant baik luar negeri di negeri selain itu aplikasi perban stabil aku pilih jenis sesuai butuh ku ada jenis silver gold platinum pokok puas banget,5,Positive
pake aplikasi sebgai bentuk dukung digitalisasi uang dengan dukung bank sudah percaya tambah percaya orang buat download apk ini,5,Positive
aplikasi mudah guna akses cepat ui nya oke tidak kendala bayar tagih belanja apa,5,neutral
aplikasi mudah guna lancar tampil tarik guna mana kapan transaksi apa jadi lebih simple,5,Positive
tampil simple bagus fitur fiturnya sangat relevan sesuai butuh hari hari wondr lebih mudah guna banyak diskon pake apk,5,Positive
aplikasi banyak perlu baik verifikasi muka ajah susah benerr,1,neutral
aplikasi mudah guna desain tarik bantu transaksi jadi mudah,5,Positive
dengan pakai aplikasi wondr by bni transaksi jadi mudah praktis dari tabung cek saldo sampai deposito jadi perlu ke bank atm ngantri aman kalo mau buka aplikasi guna pin biometri sidik jari,5,Negative
sudah bagus cuman kurang ada mobile tunai mbanking bni kelas wondr by bni lengkap menu nya,5,Negative
wonder by bni sangat mudah buat transakasii ada fitur login sidik jari jadi praktis banget jadi garibet buat masukin password saat juga fitur-fitur yang dukung proses transaksi yg cepat mudah,5,neutral
wah daftar gampang ga repot tabung aman satset udh jadi keren,5,Positive
aplikasi udah update nih jadi lancar banget pake lebih lancar lagi rekomended banget sih ini,5,Positive
wondr by bni punya banyak fitur lohh gaiss bayar qris top-up e-wallet virtual account transfer luar negeri manajemen kartu masih banyak lagi bukan alat transaksi mitra nasabah dalam rancang masa depan uang kitaa lohh,5,Positive
yang aku suka aplikasi fiturnya lengkap banget trus transfer keluar negeri banyak promo bikin jadi untung,5,Negative
semenjak aplikasi wondr by bni bikin jadi lebih nyaman dan sangat bantu banget terimakasih wondr by bni,5,neutral
tampil segar lebih tarik transaksi apa jadi lebih mudah praktis mudah sekali,5,Positive
pertama daftar udah gampang banget satset transaksi jg gampang bayar pake qris top up e-wallet trus pake virtual account satset lup u deh buat bni,5,Positive
akhir buat tabung bni hp fiturnya mudah isi pulsa bayar tagih selalu fitur yg mudah yaa,5,Negative
aplikasi bantu,5,neutral
aplikasi sangat mudah transaksi kapan pun tanpa kendala good job lanjut,5,Negative
aplikasi wondr by bni sangat mudah guna simple sangat bantu laku bayar apa bahkan keluar negeri,5,Negative
praktis banget pakenya simple ga pake ribet registrasi suka deh,5,neutral
transfer hasil saldo potong klw klw transfer gagal saldo jgn potong la kn ribet hubung pihak bank trimakasih,4,Negative
aplikasi keren si udah fitur nya bagus mudah cepat banget top up nya jadi praktis bawa aja pakai aplikasi thank you yaaa,5,Positive
saya cb cek mutasi malah 1 bulan gk cek mutasi bulan yg satu bulan lain nama qt cek mutasi qt butuh rentang waktu tentu lah masa batas 1 bulan kan aneh trus muncul bgt sj gk bisa di download pula otomatis ke bank jadi malah bayar per lembar untuk print mutasi udah gitu ke bank kan panjang lg antri nya punya aplikasi baru bukan makin mudah transaksi malah makin bikin sulit aneh bumn satu,1,Negative
aplikasi wondr bni bantu nasabah lacak keluar bulan paham arus kas dasar data historis mutasi itu mudah transfer pun isi token maupun pulsa,5,Negative
aplikasi wondr mudah guna bertransaki mudah guna atur uang,5,Positive
mudah guna mudah log in isi data apalagi buat agak gaptek gak bingung pakenya,5,Negative
mantab sih mudah sekali era digital,5,Negative
cara daftar mudah banget bantu buat buka rekening online cepat aku bener-bener suka sama semua fiturnya mudah aku buat transaksi jadi sat set sat set karna atm lumayan jauh temat tinggal udah gamau ribet megang cash buat kartu debit gampang banyak pilih sangat recommended gamau ribet antri bank buat buka rekening yg suka transaksi belanja harus ngambil cash dulu atm good job,5,Negative
guna sangat mudah daftar hanya butuh ktp verif wajah langsung masuk rekening apa tanpa masuk no rekening sangat integrasi,5,Negative
wah bantu banget buat top up ewallet transfer luar negri,5,Positive
aplikasi nya cukup mudah guna fitur-fitur nya tarik bagus rencana uang semua jadi serba cepat mudah,5,Negative
hai aku guna baru nih apk wondr by bni bismillah moga bantu transaksi baik karna jaman sekarang apa pakai transaksi digital mudah terus update tidak tinggal era moderenisasi nabung transaksi jadi lebih mudah dengan mobile macam ini tidak perlu antri bank offline lewat rumah kita laku untuk buka tabung ini bismillah moga makin jaya slalu jadi layan baik,5,Positive
oke banget buat transaksi sehari2 krn aku ibu rumah tangga yg sulit kmn2 pakak wondr jd serba lebih mudah,5,Positive
sangat bantu aplikasi simpel mudah ribet,5,Negative
wah aplikasi bagus mudah paham guna buat aku si kaum rebah suka banget 1 aplikasi untuk bayar apa thanks wonder,5,neutral
mudah guna dan cepat registrasi gampang nggak ribet,5,neutral
aplikasi wodr sangat simpel mudah guna transaksi lebih mudah monitor keluar pasu uang,5,neutral
suka banget sama aplikasi mudah guna praktis mudah banget jaman sekarang gen z milenial download aplikasi mudah hidup,5,neutral
mudah kita yg sibuk,5,neutral
aplikasi terus upgrade makin mudah guna cepat registrasi buat kartu ada banyak pilih yg kita sesuai dg butuh kartu selain tidak perlu repot antri kantor kena tambah biaya admin lain identitas jaga dg baik,5,Positive
aplikasi nya bagus registrasi nya cepat banyak fitur nya transaksi non tunai sangat mudah sekali,5,Negative
aplikasinyaa sangat bagus guna,5,Positive
solusi mudah uang aplikasi nya mudah banget,5,neutral
aplikasi simpel mudah kan batu bertaransaksi,5,Positive
aplikasi yg mudah hidup urus uang atur uang kontrol baik fitur2nya cukup variatif gak ribet,5,Negative
mudah atur uang aplikasi mudah gampang guna,5,Negative
wondr bener2 bantu mudah transaksi fiturnya lengkap gampang paham,5,Positive
mudah banget buat transaksi uang beli beli butuh jadi lebih sat set pakai wondr,5,Positive
apps gk jelas msa mau msuk eror2 trs baik dlu sistem,1,neutral
aplikasi nya bagus mudah erti gak bikin ribet kereennn pokok,5,Negative
aplikasi mudah banget moga makin bagus ya depan,5,neutral
aplikasi wondr by bni gratis biaya transfer guna mudah,5,Positive
fitur-fitur nya lengkap sangat mudah guna jadi klo mau transaksi enak jadi lebih simple deh pokok bagus banget recommended,5,Positive
aplikasi wondr by bni simple mudah guna transaksi beli token pulsa dlln jadi gampang gak ribet,5,neutral
memori fulll trus it gim,3,neutral
keren,5,neutral
aplikasi simple moga lebih berembang lg,5,Positive
aplikasi wondr by bni sangat bantu sekali sangat mudah transaksi mana ada jadi lebih praktis pokok mau beli apa transaksi apa selalu pakai wondr by bni,5,Positive
saya tf uang gak kirim saldo potong mending pakai lama aja gak jelas kali lah tolong bantu,1,Negative
aplikasi bagus mudah erti mudah aku transaksi pun,5,Positive
tolongggg orengggg,1,neutral
aplikasi lebih baik mobile banking wondr lebih simpel lebih bagus aktivasi sangat mudah buat bayar qris cepat mudah,5,Positive
aplikasi enak pakai lebih modern sama sekali ga lot sangat mudah buat orang suka belanja online kaya saya i love you wondr bni,5,Positive
tarik tunai kartu bom di wondr cek poin bom bisa ukur apk makin gede bni kalo ukur apk nya sama bni,1,Positive
sdh dftar login msh kluar sendiri hrs dftr lg app gk bs dgunakan,1,neutral
jauh lebih lengkap bni mobile belum,1,Positive
seblmnya pake mbanking bni yg lama telah pindah wondr sukak samaa tampil fresh user-friendly banyak fitur yg lebih lengkap makin mudah tahan,5,Positive
baru pakai wonder langsung suka transaksi mudah tampil kece simple friendly bgt guna thumbs up wondr by bni yg baru kembangin trus fitur lain,5,Positive
app bagus kok utk menu tari sama setor kartu malah ga yaa sangat sayang sih harus balik ke app lama utk tarik setor kartu mana potong pulsa lagi,2,Negative
gunain aplikasi gampang banget banyak fitur bisa gunain sat set banget aplikasi mula gampang aktivasinya baik wondr by bni,5,neutral
saya guna baru wondr by bni nyata gampang daftar gunainnya banyak fitur- fiturnya sesuai butuh hari hari mudah segala bentuk transaksi keren,5,Positive
ribet gagal suruh kedukcapil kata ktp gores padahal video call jelas2 wo o masih mending app yg lama uninstal,1,Negative
apa sih kow tiba suruh login gilir mau login malah sesi sedia jadi males deh enak apl bni mobile timbang wondr by bni mah,1,Negative
entah hitung 3bulan guna app sangat bagus sangat bantu sekali tapi karna kendala uninstal sengaja saya jadi sulit login lgi,1,Negative
payah susah,1,neutral
mohon segera update fitur bisa baru alamat baru nasabah mandiri langsung aplikasi ini karena mau order kirim debit card bisa salah ketik alamat tera,5,Negative
alam lupa pin emang bikin kesel mana lumayan rada jauh kantor bni nya tp pas dbilang reset pin pk aplikasi wondr bener nolong abis cara ga perlu kantor bni antri buat cs meski jarang kjadian tp sekali lupa pin panik bener bikin stress wondr emang the best lah,5,neutral
susah login kalau aktif sidik jari tidak masuk password pin login terkadang sidik jari tidak aktif tangan basah hal lain hingga akhir lupa password repot repot sedia ktp verifikasi saran guna 2 metode login belum guna biometrik dan juga guna password pin,3,Negative
aku neng bgt dengaan ada wondr by bni sangat mudah aku transaksi mana kapan sangat bantu asik bgt pokok kalian download krn apk sangat manfaat,5,Positive
aku tahap sesuai dalam guna apkikasi ini jauh aku oke sih dalam beberapa fitur memang sepenuh di akses aku sabar tunggu kok,5,Positive
aku kasih 3 dulu saran aja klu fitur ganti no hp wondr soal fitur sdh lama banget loh di livin mandiri masa bni kalah sama mandiri ayo bni lbh canggih lagi kalau fitur sdh ada baru ku kasih 5,3,Negative
aplikasi bagus banget transisi bni mobile wonder bni tahun depan udah oke yah biar tambah bantu transaksi satset lama desain cakep banget moga lebih baik depan,5,Positive
verifikasi wajah kaga bisa2 kaga jelas bngat nie aplikasi maaf hari nie lngsung uninstall,1,Negative
saldo lebih cukup tidak top up makin aneh aja aplikasi,1,neutral
aplikasi keren fitur fiturnya lengkap sama aplikasi bni yg lama dan lebih banyak promo wondr jadi sering pake banyakin promo ya min,5,Positive
mantap wondr by bni,5,neutral
lebih baik pak lama,3,Negative
hai mau dwonloadd jangan ragu aplikasi nya bagus banget cocok buat irt ngirit pengeluarann mau tf aja,5,Negative
baru tau aplikasi huhu padahal aku selalu pake bank bni neng bgt sii sekarang kalo butuh apa2 gaperlu ribett langsung pake apk ini mantapp pokok mah bni,5,Negative
aplikasi tidak bagus gagal transaksi qris refund 20 hari padahal jelas salah pihak bni aplikasi work,1,Negative
mohon maaf baru tadi pagi download aplikasi wondr by bni ganti lama kok sekarang tidak login layar hp putih bersih ada tulis mohon bantu jelas,1,Negative
ini ngebug ngulang2 syarat tuju ga log in,1,neutral
lama aku pakai apk ga kendala sih transfer mudah trus atur butuh misal mau beli lah lah gampang banget,5,neutral
aplikasi nya bener-bener bantu jadi lebih gampang pake nyaa iseng nyobaa awal nyata aplikasi nya se ringan ituu,5,Negative
mantap,5,neutral
bagai guna baru app oke yaa meski gabisa cetak rekening koran online kek brimo,5,Positive
aplikasi bagus bgt deh suka sama user imterfacenya sangat nyaman pandang keren si bni,5,Positive
lama aku pakai apk ga kendala sih transfer mudah trus biaya admin ga mahal banget aku suka aplikasi nya bisa ngatur uang butuh hari,5,Negative
lbh bgs aplikasi lama klu mt biasa tengah mlm ni wondr aplikasi bru srg mt sore klu blm siap jgn d aplikasi dulu lah nyusahin aja sekarang jadi tgl 1 2 desember transaksi antar bank 700rb 1jt blm hasil saldo potong gmn ni pihak bni cb k layan call centre bni skrg d suruh tunggu tidak tanggap parah,1,Negative
wonder by bni nih emang keren banget si semua urus uang jadi gampang fitur-fiturnya jg lengkap mulai transfer bayar tagih cek saldo semua tinggal klik doang desain kini enak pakai jadi alam transaksi asa lebih santai tetap aman pokok worth it banget buat pakai hari aseli,5,Positive
aplikasi nya oke keren semua transaksi fast banget juga lihat riwayat transaksi belum cuman satu saran tolong min adakan tarik tunai kartu semua atm bank sama keren jadi gaperlu pake kartu,5,Positive
riwayat transaksi transaksi keluar transaksi masuk ada mutasi terus ada notifikasi perlu banyak benah,1,Negative
aku pakai aplikasi nya lama lancar banget paling suka tuh kontrol biaya hari mau tf beli apa mudah ga kendala sama sekali waktu transaksi,5,Positive
mantap,5,neutral
tampil aplikasi bagus gampang paham fitur komplit bisa kapan aja transaksi dan aja sip deh aplikasi bantu sekali,5,neutral
saya baru pertama kali guna proses daftar cukup mudah sangat cepat sekali proses aplikasi sangat mudah paham di guna semua serba praktis satu aplikasi hanya beberapa menit say punya rekening bni aplikasi wondr ini patut di coba,5,Positive
ga apa2 aplikasi tf virtual account ga,1,Negative
guna lama bni cuma baru coba download wondr so far si ya bantu banget lah buat transaksi cashless jadi gaperlu bawa dompet mana udah bagus sistem great job bni,5,Positive
fitur fiturnya bikin transaksi jadi cepat gampang desain fresh ngebosenin moga terus tambah fitur keren lain,5,Positive
iseng2 download rekomendasi temen telah install alhamdulillah buat mudah buat kartu kredit buka tabung jadi gak perlu bingung bawa apa saja info aplikasi terimakasih wondr by bni,5,Negative
install aplikasi karena penasaran banyak yg bilang bagus recommended nyata benar aplikasi recommend banget fitur-fiturnya lengkap layan baik sekalipun jaring jelek aplikasi tetap guna aplikasi juga mudah banget transaksi non-tunai pokok aplikasi recommended,5,Negative
saya daftar keluar aplikasi suruh daftar lagi baru masuk menu login malah alih menu daftar muncul notifikasi menu sesi sudah akhir endingnya sama sampai menu login lagi suruh daftar gitu terusmtuermuter,1,Negative
aplikasi apan kagak jelas udah aktivasi tiap buka suruh aktivasi mlu gak di pake,1,neutral
nyusahin banget bukan aplikasi bagus buat orang tua ribet mau login masukin data sudh betul semua tapi gagal terus cuma karena gelar nama ubah duscakpil lagi data sudah lama ga mau sesuai harus data ada kan tinggal sesuai malah minta ganti aneh sulit balikin aja bni mobile banking nya kasi orang tua mau pake aja sulit,1,Negative
aplikasi ribet rumit jauh lebih bagus dn simpel bni mobile bangking,1,neutral
aplikasi mudah guna tambah banyak promonya maju terus bni,5,neutral
aku tunggu fitur mobile tunai aplikasi ini,5,Negative
aplikasi keren tarik sangat mudah guna terima kasih wondr by bni,5,neutral
sangat buruk dulu pakai m banking bni mobile mudah pas pakai wonder suruh update ktp gila ktp baru minta update aplikasi sial mohon kembali aplikasi belum aplikasi wonder sangat buruk tidak guna buang buang waktu saja aplikasi tdk bobot saya guna bni lebih 5 tahun sangat kecewa mobile banking bni nonaktif karena aplikasi wonder sangat buruk saya sudah 20 kali pemdaftran gagal terus,1,Negative
apk wondr bni sangat muas aplikasi sangat mudah guna semua layan perban transfer bayar tagih laku cepat selain itu fitur tambah mesan tiket belanja online buat makin praktis,5,neutral
aplikasi bantu untuk kelola uang apalagi yang notabene baru aja mulai kelola uang saya interface nya user friendly,5,Negative
aplikasi sangat kembantu untuk kelola uang transfer,5,Negative
pake wondr by bni beneran ngebantu banget buat ngatur uang hari semua fitur aku butuhin ada mulai catat keluar promo-promo tarik jadi lebih gampang ngontrol uang ribet,5,Positive
masih bisa buka selalu minta akses aksebilitas nonaktif padahal waktu periksa atur hp semua menu aksesibilitas mati,2,Negative
dulu pas nyoba apk agak nge bug gitu sekarang aku nyoba install sekarang jadi lancar enak di pakai keren tingkat,5,neutral
moga depan menu setor tunai kartu,4,Positive
aplikasi sangat bantu guna bni khusus transaksi keren pokok mantap,5,neutral
aplikasi mudah rencana libur juga tabung masa depan mulai 100 ribu bisa atur uang untuk masa depan,5,Negative
aplikasi wondr aplikasi sangat canggih bikin transaksi lebih mudah jugaa lebih simple juga ini salah satu aplikasi perban kerenn,5,Negative
aplikasi bank terfancy yg pernah ada tampil colorfull keren sih yang paling bantu aplikasi itu pas pin atm blokir ga perlu bank cukup reset lewat aplikasi aja gampang,5,Negative
thx to wndr by bni sangat mudah transaksi mana kapan walaupun kemaren sempat bug sekarang udah aman kokkk moga wndr by bni makin menyalaaa,5,Positive
pakai wondr by bni hidup lebih arah tabung di pisah jadi fokus lalu buat bayar bagai macam bayar jadi lebih simpel ribet pergi mana,5,Positive
saya melakukam transfer via app ini tera gagal app tapi saldo kurang gimana cerita nya ini tolong lah kasi solusi,1,Negative
aplikasi sangat bantu mudah dalam transaksi pokok aplikasi lebih bagus yang lama,5,Negative
aku baru instal aplikasi aku coba transaksi ehh tau mudah bnget ngga ribet buat aku yg mula lancar lg mudah bnget cek transaksi rekomend deh,5,neutral
aplikasi bantu sekali informasi mutasi transaksi nya informatif itu cek aset tabung investasi satu layar,5,Negative
aplikasi turut simpel mudah banget transaksi the best sih aplikasi wondr by bni semua lengkap sini buru deh download aplikasi,5,Negative
lancar banget applikasi nya bantu ber transaksi,5,Positive
apk mobile banking keren bikin transaksi jd lebih gampang desain modern fiturnya jg lengkap transfer bayar tagih rekap uang real-time mantapp,5,neutral
mudah banget guna,5,Positive
saya baru aja aktivasi wondr ini proses aktivasi sangat mudah cepat fiturnya masuk lengkap juga dan paling penting mau login benar jamin aman harus masuk password lebih dahulu wondr semua jenis transaksi jadi lebih mudah good job,5,Positive
aplikasi sangat mudah guna cepat difahami saya senang guna aplikasi,5,Negative
pake aplikasi wondr ini kog belum transaksi kartu ya mohon info,4,neutral
alam guna wondr by bni sangat muas aplikasi tidak mudah guna tawar fitur-fitur sangat bantu kelola uang catat transaksi hingga bagai opsi bayar tagih saya suka desain modern intuitif buat aktivitas uang asa lebih praktis notifikasi real-time juga jadi nilai tambah saya selalu tahu status transaksi harus repot ecek manual,5,Negative
bisa bni mobile tunai ya,3,Positive
proses daftar transaksi wondr by bni sangat cepat praktis sehingga mudah guna semua kalang sangat bantu recommended dehh,5,Positive
telah update utk top up e walet max 1 jt hari,2,neutral
aplikasi wondr bni keren bgtt aku udh pake lama blm bug sama sekali mudah laku transaksi apa tampil fresh enak liat mantap bni,5,Positive
saya pakai wondr transfer simpel pun gak pake ribet proses ga lama recomended deh,5,Positive
terimakasih uda mudah dalam transaksi mudah mana suka promo an lagi,5,Positive
mantap,5,neutral
alih mobile banking aplikasi wondr tampil lebih enak lengkap banyak promo pake wondr kalo top up ewallet gak kena admin mantap,5,neutral
selalu baik fiturnya maintenance malam hari goodjob,5,Negative
wondr by bni sangat guna praktis bgt di dlm 1 apk udh banyak fiturnya dari mulai bayar beli apa topup tapcash sampe sen tiket bener2 sangat bantu bgt poko,5,Positive
wondr by bni tawar bagai fitur bayar pakai qris juga top up e wallet tampil aplikasi nya simpel mudah bagai guna baru,5,neutral
turut sy wondr by bni msh di baik lagi msh byk kurang mohon min utk transfer bi fast blm sedia terimakasih,3,Negative
transaksi gagal saldo potong beli pulsa listrik juta status gagal saldo potong dengan harap dana refund karna memang status gagal bukan pending akhir beli pakai aplikasi bank dan hasil telah konfirmasi nyata status transaksi hasil nomor token kirim lewat email komplain tolong pihak bni harus beri terang pending jangan langsung status gagal sekarang saldo token tumpuk padahal cuma buat kamar kos,1,Positive
aplikasi wondry sangat baik laku reksa dana mulai 100rb an aja cocok sekali ingin buat reksa dana uang minim sangat rekomendasi,5,neutral
apk wondr by bni sangat mudah guna lalu transaksi atur uang pokok sangat rekomend,5,Positive
aplikasi sangat bantu tampil ui simpel menu mudah aplikasi ringan,5,neutral
wondr by bni benar bikin transaksi jadi simpel fitur login sidik jari sangat praktis ribet masukin password saat,5,neutral
lebih suka sama aplikasi bank bni ini soal pakai tuh lancar engga bug sama sekali transaksi aman lancar biaya adminnya murah transfer bank lain terimakasih admin wondr,5,neutral
udah lama pake mbanking bni sampe akhir wondr by bni makin suka karna tampil lebih keren dr yg belum,5,neutral
aplikasi simple mudah orang,5,Positive
fitur kurang lengkap salah satu nggk fitur tarik tunai kartu klo dada nggk bawa atm jdi ribet overall bagus lah tingkat dri bni mobile cmn bni mobile fitur tarik tunai kartu,4,Positive
ao lah sering ganggu kamprett betulk,1,Positive
aplikasi banget,5,Positive
aplikasi gampang guna mantau guna uang per bulan salah wonder,5,Positive
aplikasi sampah ga 1 apps aja pake bni mobile semua layan ribet,1,neutral
tampil lebih tarik aplikasi belum respon qr lebih cepat,5,Positive
aplikasi segala jadi lebih praktis efisien benar beri alam guna luar biasa,5,Positive
bagus sih lebih simple gitu mau pasu password gacorr bgt,5,Positive
aplikasi ribet mau masuk ribet salah password ribet pake ktp lagi fitur cuma segitu doang memang mending hapus aja aplikasi gk,1,Negative
aplikasi mudah transaksi pun juga mudah untuk guna aplikasi moga depan lebih kembang,5,Positive
alam bagai mula fitur fitur ada aplikasi mudah erti buat saya lebih nyaman mudah guna fitur nya tidak lot sangan bantu saya,5,Negative
mudah kan transaksi,5,neutral
mantap,5,neutral
appnya sangat bantu buat kelola keluar apa jaman skrang apa serba qris fiturnya mudah di pahamin juga lebih lengkap,5,Negative
tampil wondr cukup simpel ui ux nya cukup modern ramah guna aplikasi sangat mudah untuk laku transaksi,5,Negative
aplikasi nya sangat manfaat buat saya tampil rapih saya tracking uang keluar masuk mudah catat uang pribadi,5,Positive
aplikasi simple mudah guna hidup hari mudah dalam belanja jauh belum temu masalah menganggu rekomendasi sekali di guna lebih cara daftar mudah aman percaya,5,Negative
rurut aplikasi sangat bagus ngebantu untuk laku transaksi transaksi juga jadi lebih mudahhh,5,Negative
aplikasi bagus sangat bantu hidup hari mudah bayar,5,neutral
aplikasi nya mudah guna bangettt fitur fitur aplikasi nya udah oke banget sih ga bikin pusing guna nya,5,neutral
kenapa si bni ada denda 5000 gak cukup biaya admin 11 000 di kena denda,2,Negative
aplikasi error udh daftar pas klik masuk masa daftar pas klik bilang nya sesi habis tolong baik kata desember mau laku,2,Negative
aplikasi tolol bener2 pakai bni mobile mau isi token malah suruh aplikasi ini gilir udah download mau isi token malah gak bisa mending hapus aja aplikasi beneran enak lama,1,Negative
tiap mau pakai selalu daftar konfirmasi ktp dll ribet kembali bni aja donk,2,Positive
baru menginstal aplikasi alhamdulillah lancar mudah aktivasinya cepat ngga ribet terima kasih wondr by bni,5,Negative
telah sekian bulan pake gada masalah kali sebal pagi pagi mosok lebih transaksi mau sy tutup tarik saldo nyusahin pantesan kemarin temen temen saranin tutup aja rekening bni nya,1,Negative
mudah sekali udah instal apk nya aktivasinya g ribet,5,Negative
untung banget aplikasi jadi ga repot kalau mau cek saldo atau transaksi perban mudah guna juga thanks bni,5,neutral
aplikasi nya tiba kluar sndiri gak yg lama gak yg baru sama ajah,1,neutral
saya mw tanya menu lihat pinjam bni symponi kok g ya,2,Positive
saya sangat rasa bantu mudah kece transaksi masuk keluar rekening lalu wondr ini karena sangat mudah guna segala usia baik muda hingga tua,5,Negative
mantaap registrasi gampang sekali debest aplikasi sih biasa kalau pin atm blokir reser kantor cabang dekat cukup pake aplikasi aja,5,Negative
baru install aplikasi wondr by bni aktivasinya mudah cepat lalu coba laku transaksi lancar tampil ui nya keren banget bingung cari fitur itu,5,neutral
aplikasi simple banget praktis aplikasi mantab mudah proses gak ribet top,5,Positive
sangat gampang lebih mudah lengkap semua sini tabung dolar nyata love bni,5,neutral
aplikasi mudah guna banyak diskon pula makasih yaa,5,Positive
layan customer langgan baik,5,neutral
sekarang jadi sulit buat kece saldo simponi print buku saya kira lebih mudah yg belum auto debit bisa liat saldo bni simponi,1,Positive
saat ganti hp ribet aplikasi m banking belum,5,Negative
saya mau tanya tiba2 saldo hilang rp 13 000 saldo itu padahal tidak pernah laku transaksi apa maaf hanya tanya saya guna baru sini,1,Negative
seperti paksa alih apk ini fitur setor tunai ada pakai yg lama error terus gimana harus ini sempurna dulu baru suruh alih apk bener,2,Negative
aplikasi lot,1,Negative
sempurna,5,neutral
parah bank plat merah buruk,1,neutral
tidak opsi tarik setor tunai,4,Positive
baru pake aplikasi udah buat kesel susah banget login mentok logo wondr doang padahal jaring stabil,1,Negative
kacau ini sering gagal login,1,neutral
wondr bni lot banget mending mbanking bni,2,Negative
sering ngebug,3,neutral
aplikasi jelek buat login aja susah,1,Positive
masuk aplikasi tiba tiba keluar sendiri henti solusi gimana kak,3,Negative
riwayat transaksi ga jelas,1,Positive
sangat sering ganggu,1,Positive
kenapa selesai daftar terus keluar mau login masuk halaman syarat tentu guna telah ceklis ingat sesi kamu akhir kemudian klik oke balik ke halaman awal masuk ke halaman login malah alih ke halaman syarat tentu guna terus begitu mohon baik bantu,2,Negative
nga fungsi sama sekali bikin susah,1,Negative
gjls buat transaksi gagal trs pdhl saldo cukup aja,1,Positive
simpel sih tp menu fx mobile kok malah hilang ya masih lengkap menu tolong lengkap segera ya terimakasih,3,Positive
saya mau bli token listrik knp blm ya,3,neutral
nih apk gimana korupsi gimana jelas tf sama bni 35ribu kok masuk 27ribu rada ga masuk akal ini beneran jadi lebih bijak,2,Negative
saldo potong tulis riwayat transaksi walaupun cuma 5rb harus ad transparansi sadar baru 2 kali saldo kredit masuk mohon baik ya belum livin pernah ini selalu transparan utk potong biaya lain,1,Negative
baik,1,neutral
susah sekali login pakai face recognition gagal terus padahal sesuai arah layar tempat terang,1,Negative
ga jelas pake qris gagal saldo tetap sedot 200 000,1,Positive
apk,1,neutral
bintang 1 sih telah selesai registrasi mau login ulang malah looping syarat dan tentu guna terus mau login jadi gak sama sekali harus kalau aplikasi siap pakai gausah launching dulu siap matang diujicoba aplikasi siap pakai kalau ini kasihan guna paksa migrasi wondr transaksi jadi kendala kalau begini mending pake mbanking lain suruh clear history cache tetap sama,1,Negative
aplikasi kelas sekali,5,Negative
aplikasi error terus masuk tidak bisa mau guna mbanking yang begini mau gantiin bni mobile kita guna jasa mbanking sangat2 ganggu,1,Negative
kalo siap pake aplikasi jangan paksa bukan bantu malah sulit wondr bni ga jelasssss,1,Negative
lihat ulas aku jadi senyum lega nyata bukan aku aja yg susah guna aplikasi ini semua keluh aplikasi ini dulu udah pakai aplikasi ini aku ganti hp baru login eehhh gak buka tu si aplikasi padahal pin udah bener semua niat datang cs tp kecewa 2 kali gak ketemu cs pak satpam yg nge handel cs akhir aku tarik semua uang tabung pindah bank belah yg full senyum,1,Negative
ngebug mau transfer gagal terus pindah wondr gak sesuai ekspektasi sama aja sama bni mobile,1,Positive
dikit2 error tadi mau transfer ga bisa saldo kurang cs hubung ga satu respon,1,Negative
